
,,Sales Person,Geography,Product,Date,Sales,Boxes
,,Wilone O'Kielt,Australia   ,Manuka Honey Choco,07/28/2023,339.75,77
,,Gunar Cockshoot,India   ,White Choc,01/05/2024,5991.75,315
,,Oby Sorrel,Australia,Orange Choco,11/15/2023,6318,809
,,Marney O'Breen,Australia ,Drinking Coco,03/20/2023,5537.25,232
,,Jan Morforth,India  ,Manuka Honey Choco,01/19/2024,6684.75,26
,,Kelci Walkden,Australia   ,Manuka Honey Choco,08/02/2023,6651,95
,,Dotty Strutley,UK ,Eclairs,11/01/2023,4923,49
,,Wilone O'Kielt,New Zealand  ,Spicy Special Slims,08/11/2023,5757.75,14
,,Gigi Bohling,UK  ,Mint Chip Choco,08/10/2023,3480.75,90
,,Jan Morforth,USA  ,White Choc,04/03/2023,3915,336
,,Ches Bonnell,USA   ,Drinking Coco,06/09/2023,3476.25,42
,,Gigi Bohling,UK ,Baker's Choco Chips,05/04/2023,936,125
,,Van Tuxwell,Australia   ,Spicy Special Slims,09/15/2023,7960.5,84
,,Brien Boise,India,99% Dark & Pure,03/24/2023,12285,573
,,Gunar Cockshoot,New Zealand  ,Orange Choco,11/21/2023,9328.5,534
,,Marney O'Breen,Australia,Mint Chip Choco,10/20/2023,5348.25,86
,,Wilone O'Kielt,New Zealand ,Caramel Stuffed Bars,03/17/2023,8964,164
,,Kelci Walkden,Canada ,Baker's Choco Chips,07/18/2023,8806.5,735
,,Gigi Bohling,India  ,Mint Chip Choco,04/19/2023,7935.75,69
,,Andria Kimpton,New Zealand  ,Fruit & Nut Bars,03/01/2023,12795.75,474
,,Oby Sorrel,USA ,99% Dark & Pure,09/26/2023,16026.75,363
,,Wilone O'Kielt,India  ,Manuka Honey Choco,10/20/2023,886.5,160
,,Husein Augar,Canada   ,85% Dark Bars,11/03/2023,12435.75,494
,,Andria Kimpton,India ,Raspberry Choco,10/19/2023,10563.75,684
,,Beverie Moffet,New Zealand,After Nines,08/24/2023,6975,297
,,Rafaelita Blaksland,New Zealand   ,Peanut Butter Cubes,12/01/2023,4709.25,477
,,Barr Faughny,India   ,Caramel Stuffed Bars,03/06/2023,2236.5,18
,,Kaine Padly,Canada ,Mint Chip Choco,02/10/2023,1174.5,121
,,Dennison Crosswaite,UK,70% Dark Bites,05/17/2023,1210.5,838
,,Andria Kimpton,UK ,Milk Bars,03/14/2023,4479.75,258
,,Gigi Bohling,UK,Smooth Silky Salty,09/04/2023,501.75,305
,,Van Tuxwell,USA  ,Peanut Butter Cubes,02/06/2023,5175,181
,,Oby Sorrel,New Zealand  ,White Choc,09/05/2023,3537,452
,,Husein Augar,USA  ,Caramel Stuffed Bars,06/07/2023,15678,159
,,Roddy Speechley,USA   ,Baker's Choco Chips,10/04/2023,6750,153
,,Madelene Upcott,UK  ,Organic Choco Syrup,02/27/2023,13846.5,301
,,Brien Boise,New Zealand   ,Almond Choco,05/10/2023,11731.5,181
,,Karlen McCaffrey,UK ,Milk Bars,10/06/2023,4682.25,237
,,Brien Boise,Canada   ,White Choc,04/13/2023,272.25,159
,,Camilla Castle,New Zealand  ,Eclairs,05/02/2023,1496.25,53
,,Brien Boise,India,Almond Choco,02/26/2024,6594.75,797
,,Jehu Rudeforth,UK ,Raspberry Choco,04/11/2023,175.5,808
,,Curtice Advani,UK ,Caramel Stuffed Bars,02/26/2024,7224.75,45
,,Gunar Cockshoot,Canada  ,Caramel Stuffed Bars,02/26/2024,10163.25,63
,,Brien Boise,Australia ,85% Dark Bars,01/12/2024,1829.25,55
,,Karlen McCaffrey,UK,50% Dark Bites,05/18/2023,893.25,160
,,Marney O'Breen,Australia  ,70% Dark Bites,10/30/2023,1887.75,239
,,Curtice Advani,Canada,Eclairs,01/11/2024,2812.5,70
,,Marney O'Breen,USA ,70% Dark Bites,07/03/2023,1455.75,53
,,Roddy Speechley,USA   ,After Nines,10/04/2023,2841.75,95
,,Andria Kimpton,USA  ,Manuka Honey Choco,04/13/2023,3143.25,207
,,Kaine Padly,Canada ,Choco Coated Almonds,01/22/2024,1446.75,722
,,Dotty Strutley,Canada,After Nines,01/26/2024,2180.25,61
,,Curtice Advani,Australia,Caramel Stuffed Bars,09/07/2023,2128.5,275
,,Beverie Moffet,Australia   ,Choco Coated Almonds,07/03/2023,8109,523
,,Jan Morforth,Canada   ,70% Dark Bites,02/13/2023,2495.25,199
,,Kelci Walkden,New Zealand ,Choco Coated Almonds,10/06/2023,6322.5,52
,,Karlen McCaffrey,Australia  ,Mint Chip Choco,05/02/2023,3064.5,145
,,Jan Morforth,Canada  ,After Nines,12/20/2023,10008,372
,,Roddy Speechley,Canada  ,Spicy Special Slims,08/15/2023,1005.75,115
,,Barr Faughny,Australia ,Mint Chip Choco,07/05/2023,2106,39
,,Gunar Cockshoot,Australia  ,Spicy Special Slims,07/13/2023,38.25,165
,,Gunar Cockshoot,Australia  ,Orange Choco,08/02/2023,382.5,409
,,Roddy Speechley,Canada   ,Baker's Choco Chips,01/11/2024,12228.75,152
,,Rafaelita Blaksland,USA,Fruit & Nut Bars,02/19/2024,7123.5,476
,,Wilone O'Kielt,Australia   ,Raspberry Choco,12/07/2023,753.75,1365
,,Kaine Padly,Canada,70% Dark Bites,05/05/2023,1491.75,393
,,Ches Bonnell,New Zealand  ,Eclairs,10/09/2023,8271,345
,,Camilla Castle,India ,Mint Chip Choco,12/13/2023,708.75,115
,,Kaine Padly,UK  ,Spicy Special Slims,07/20/2023,4016.25,230
,,Barr Faughny,India  ,Smooth Silky Salty,12/19/2023,18150.75,359
,,Gigi Bohling,Canada ,Drinking Coco,04/26/2023,7699.5,415
,,Karlen McCaffrey,New Zealand,Raspberry Choco,06/01/2023,983.25,205
,,Oby Sorrel,USA,50% Dark Bites,04/25/2023,7701.75,1596
,,Camilla Castle,USA,Manuka Honey Choco,01/29/2024,15275.25,85
,,Husein Augar,USA  ,Eclairs,04/18/2023,1989,2
,,Dennison Crosswaite,Canada,Drinking Coco,11/09/2023,4378.5,549
,,Curtice Advani,India ,Caramel Stuffed Bars,12/12/2023,8336.25,194
,,Curtice Advani,Canada   ,85% Dark Bars,02/08/2023,1181.25,289
,,Brien Boise,Canada ,Caramel Stuffed Bars,03/20/2023,10127.25,354
,,Roddy Speechley,Australia  ,Spicy Special Slims,12/18/2023,3746.25,491
,,Beverie Moffet,UK,70% Dark Bites,06/23/2023,1932.75,121
,,Rafaelita Blaksland,New Zealand,99% Dark & Pure,06/22/2023,14465.25,381
,,Roddy Speechley,India   ,99% Dark & Pure,06/07/2023,10570.5,139
,,Gigi Bohling,UK  ,Raspberry Choco,07/26/2023,3055.5,264
,,Oby Sorrel,Australia   ,Fruit & Nut Bars,12/27/2023,1491.75,670
,,Kelci Walkden,Canada,Peanut Butter Cubes,08/01/2023,6099.75,83
,,Dennison Crosswaite,New Zealand   ,Raspberry Choco,04/05/2023,8010,912
,,Kaine Padly,Australia,Eclairs,03/16/2023,643.5,24
,,Beverie Moffet,Australia   ,70% Dark Bites,01/12/2024,5748.75,759
,,Rafaelita Blaksland,Australia   ,After Nines,03/13/2023,11074.5,122
,,Brien Boise,UK,Almond Choco,02/16/2023,11693.25,174
,,Van Tuxwell,UK ,70% Dark Bites,09/14/2023,6871.5,209
,,Jehu Rudeforth,India   ,Eclairs,11/24/2023,5136.75,113
,,Karlen McCaffrey,India,Spicy Special Slims,05/17/2023,1165.5,33
,,Andria Kimpton,New Zealand  ,Caramel Stuffed Bars,10/13/2023,14431.5,42
,,Jehu Rudeforth,USA   ,Eclairs,09/07/2023,3548.25,72
,,Curtice Advani,India  ,Baker's Choco Chips,10/09/2023,14044.5,12
,,Mallorie Waber,India ,After Nines,07/31/2023,5620.5,377
,,Marney O'Breen,Australia   ,Almond Choco,01/26/2024,14928.75,17
,,Gigi Bohling,Australia  ,Spicy Special Slims,02/27/2024,1057.5,93
,,Husein Augar,Australia   ,Manuka Honey Choco,02/08/2023,8563.5,113
,,Dotty Strutley,New Zealand   ,Smooth Silky Salty,10/31/2023,1892.25,8
,,Husein Augar,Canada ,Orange Choco,03/30/2023,328.5,589
,,Beverie Moffet,UK,Spicy Special Slims,04/03/2023,8178.75,367
